row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,city,product_id,product_name,category,sub_category,sales,quantity,discount,profit
1,ORD-2022-5063,2022-01-02,2022-01-07,Standard Class,CU-10171,Priya Anderson,Consumer,East,Massachusetts,Worcester,PR-1015,3-Ring Binder,Office Supplies,Binders,71.12,5,0.1,14.42
2,ORD-2022-5063,2022-01-02,2022-01-07,Standard Class,CU-10171,Priya Anderson,Consumer,East,Massachusetts,Worcester,PR-1006,Round Table,Furniture,Tables,534.18,2,0,-4.52
3,ORD-2022-5063,2022-01-02,2022-01-07,Standard Class,CU-10171,Priya Anderson,Consumer,East,Massachusetts,Worcester,PR-1036,USB Hub,Technology,Accessories,853.71,1,0,37.11
4,ORD-2022-5063,2022-01-02,2022-01-07,Second Class,CU-10171,Priya Anderson,Consumer,East,Massachusetts,Worcester,PR-1024,Marker Set,Office Supplies,Art,557.04,6,0,-24.37
5,ORD-2022-1611,2022-01-03,2022-01-07,Same Day,CU-10051,Ahmed Rodriguez,Consumer,East,New York,Buffalo,PR-1035,Wireless Mouse,Technology,Accessories,1879.62,2,0.2,63.03
6,ORD-2022-1611,2022-01-03,2022-01-07,Same Day,CU-10051,Ahmed Rodriguez,Consumer,East,New York,Buffalo,PR-1025,Sketch Pad,Office Supplies,Art,73.31,5,0.15,-0.28
7,ORD-2022-1611,2022-01-03,2022-01-07,Same Day,CU-10051,Ahmed Rodriguez,Consumer,East,New York,Buffalo,PR-1026,Push Pins,Office Supplies,Art,296.44,4,0.4,87.83
8,ORD-2022-244,2022-01-03,2022-01-10,Same Day,CU-10008,Amit Davis,Consumer,Central,Texas,Houston,PR-1007,Standing Desk,Furniture,Tables,2282.25,4,0.15,510.75
9,ORD-2022-244,2022-01-03,2022-01-10,First Class,CU-10008,Amit Davis,Consumer,Central,Texas,Houston,PR-1031,Headset Pro,Technology,Phones,168.07,2,0.1,1.26
10,ORD-2022-244,2022-01-03,2022-01-10,First Class,CU-10008,Amit Davis,Consumer,Central,Texas,Houston,PR-1024,Marker Set,Office Supplies,Art,371.36,4,0,85.36
11,ORD-2022-244,2022-01-03,2022-01-10,Same Day,CU-10008,Amit Davis,Consumer,Central,Texas,Houston,PR-1021,File Cabinet,Office Supplies,Storage,162.96,4,0.4,-6.18
12,ORD-2022-2582,2022-01-03,2022-01-09,First Class,CU-10090,James Davis,Consumer,West,California,San Diego,PR-1016,Report Cover,Office Supplies,Binders,481.3,6,0,98.85
13,ORD-2022-2582,2022-01-03,2022-01-09,Same Day,CU-10090,James Davis,Consumer,West,California,San Diego,PR-1009,5-Shelf Bookcase,Furniture,Bookcases,931.68,2,0.15,189.89
14,ORD-2022-2582,2022-01-03,2022-01-09,Standard Class,CU-10090,James Davis,Consumer,West,California,San Diego,PR-1024,Marker Set,Office Supplies,Art,523.62,6,0.2,32.77
15,ORD-2022-2582,2022-01-03,2022-01-09,First Class,CU-10090,James Davis,Consumer,West,California,San Diego,PR-1009,5-Shelf Bookcase,Furniture,Bookcases,2926.75,6,0,111.66
16,ORD-2022-5966,2022-01-03,2022-01-04,Same Day,CU-10198,Susan Rodriguez,Corporate,West,Arizona,Phoenix,PR-1001,Executive Chair,Furniture,Chairs,1481.24,3,0.1,296.57
17,ORD-2022-6244,2022-01-03,2022-01-07,Second Class,CU-10211,Carlos Perez,Home Office,South,Alabama,Montgomery,PR-1010,Corner Bookcase,Furniture,Bookcases,1062.56,4,0.4,193.01
18,ORD-2022-6244,2022-01-03,2022-01-07,Same Day,CU-10211,Carlos Perez,Home Office,South,Alabama,Montgomery,PR-1023,Locking Drawer,Office Supplies,Storage,26.19,1,0.3,6.08
19,ORD-2022-6244,2022-01-03,2022-01-07,First Class,CU-10211,Carlos Perez,Home Office,South,Alabama,Montgomery,PR-1036,USB Hub,Technology,Accessories,3414.85,4,0,630.41
20,ORD-2022-67,2022-01-03,2022-01-09,First Class,CU-10003,Sarah Thomas,Consumer,West,Nevada,Reno,PR-1026,Push Pins,Office Supplies,Art,402.13,5,0.15,91.64
21,ORD-2022-4685,2022-01-04,2022-01-05,Second Class,CU-10159,Elizabeth Wilson,Consumer,South,Georgia,Atlanta,PR-1023,Locking Drawer,Office Supplies,Storage,101.29,4,0.4,-2.87
22,ORD-2022-4685,2022-01-04,2022-01-05,Standard Class,CU-10159,Elizabeth Wilson,Consumer,South,Georgia,Atlanta,PR-1001,Executive Chair,Furniture,Chairs,2687.6,6,0.4,411.47
23,ORD-2022-4685,2022-01-04,2022-01-05,Same Day,CU-10159,Elizabeth Wilson,Consumer,South,Georgia,Atlanta,PR-1033,Label Maker,Technology,Machines,2136.62,2,0.15,741.17
24,ORD-2022-5393,2022-01-04,2022-01-06,Same Day,CU-10180,Fatima Taylor,Home Office,South,Florida,Orlando,PR-1015,3-Ring Binder,Office Supplies,Binders,56.9,4,0.1,6.31
25,ORD-2022-5393,2022-01-04,2022-01-06,Second Class,CU-10180,Fatima Taylor,Home Office,South,Florida,Orlando,PR-1037,Laptop Stand,Technology,Accessories,559.48,5,0.15,30.65
